"sval.0","sval.0.003","sval.0.005","sval.0.008","sval.0.01","sval.0.013","sval.0.015","sval.0.018","sval.0.02","sval.0.023","sval.0.025","sval.0.028","sval.0.03","sval.0.033","sval.0.035","sval.0.038","sval.0.04","sval.0.043","sval.0.045","sval.0.048","sval.0.05","sval.0.053","sval.0.055","sval.0.058","sval.0.06","sval.0.063","sval.0.065","sval.0.068","sval.0.07","sval.0.073","sval.0.075","sval.0.078","sval.0.08","sval.0.083","sval.0.085","sval.0.088","sval.0.09","sval.0.093","sval.0.095","sval.0.098","sval.0.101","sval.0.103","sval.0.106","sval.0.108","sval.0.111","sval.0.113","sval.0.116","sval.0.118","sval.0.121","sval.0.123","sval.0.126","sval.0.128","sval.0.131","sval.0.133","sval.0.136","sval.0.138","sval.0.141","sval.0.143","sval.0.146","sval.0.148","sval.0.151","sval.0.153","sval.0.156","sval.0.158","sval.0.161","sval.0.163","sval.0.166","sval.0.168","sval.0.171","sval.0.173","sval.0.176","sval.0.178","sval.0.181","sval.0.183","sval.0.186","sval.0.188","sval.0.191","sval.0.193","sval.0.196","sval.0.198","sval.0.201","sval.0.204","sval.0.206","sval.0.209","sval.0.211","sval.0.214","sval.0.216","sval.0.219","sval.0.221","sval.0.224","sval.0.226","sval.0.229","sval.0.231","sval.0.234","sval.0.236","sval.0.239","sval.0.241","sval.0.244","sval.0.246","sval.0.249","sval.0.251","sval.0.254","sval.0.256","sval.0.259","sval.0.261","sval.0.264","sval.0.266","sval.0.269","sval.0.271","sval.0.274","sval.0.276","sval.0.279","sval.0.281","sval.0.284","sval.0.286","sval.0.289","sval.0.291","sval.0.294","sval.0.296","sval.0.299","sval.0.302","sval.0.304","sval.0.307","sval.0.309","sval.0.312","sval.0.314","sval.0.317","sval.0.319","sval.0.322","sval.0.324","sval.0.327","sval.0.329","sval.0.332","sval.0.334","sval.0.337","sval.0.339","sval.0.342","sval.0.344","sval.0.347","sval.0.349","sval.0.352","sval.0.354","sval.0.357","sval.0.359","sval.0.362","sval.0.364","sval.0.367","sval.0.369","sval.0.372","sval.0.374","sval.0.377","sval.0.379","sval.0.382","sval.0.384","sval.0.387","sval.0.389","sval.0.392","sval.0.394","sval.0.397","sval.0.399","sval.0.402","sval.0.405","sval.0.407","sval.0.41","sval.0.412","sval.0.415","sval.0.417","sval.0.42","sval.0.422","sval.0.425","sval.0.427","sval.0.43","sval.0.432","sval.0.435","sval.0.437","sval.0.44","sval.0.442","sval.0.445","sval.0.447","sval.0.45","sval.0.452","sval.0.455","sval.0.457","sval.0.46","sval.0.462","sval.0.465","sval.0.467","sval.0.47","sval.0.472","sval.0.475","sval.0.477","sval.0.48","sval.0.482","sval.0.485","sval.0.487","sval.0.49","sval.0.492","sval.0.495","sval.0.497","sval.0.5"
2e-04,0.000240193968528875,0.000377261668386336,0.00066845609499088,0.00124027177913271,0.00235442240801387,0.00455343176692577,0.0089846060254802,0.0181343929972324,0.0375141534082787,0.0794730970631143,0.170886378694108,0.360477381667109,0.670982752318473,0.924664532873584,0.991872269760187,0.999331378623565,0.999947457255378,0.999995850849551,0.999999667663756,0.999999972958161,0.999999997764461,0.999999999812259,0.999999999983986,0.999999999998613,0.999999999999878,0.999999999999989,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.000121051745055181,0.000145381561056526,0.00022835422837776,0.000404646818948577,0.000750906976255521,0.00142584353280216,0.00275894455649327,0.0054489710752084,0.0110187819115298,0.0228834986852125,0.04889709472748,0.107285003696175,0.238028413860977,0.501018373146947,0.83354509477311,0.978399172195663,0.998248440979063,0.999869607678408,0.999990215995214,0.999999249382187,0.999999941080941,0.999999995274007,0.999999999613112,0.999999999967709,0.999999999997254,0.999999999999762,0.999999999999979,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.32406791372099e-05,8.79618226207165e-05,0.000138167110286242,0.000244845227437808,0.000454397669111092,0.000862942099185372,0.00167016674021016,0.00330013399298982,0.00667952374463239,0.0138982953330713,0.0298247813044251,0.066120313224128,0.150798761423307,0.34331989681727,0.685015138078054,0.943513269992498,0.995251373900594,0.999665498514931,0.999976313837388,0.999998269444812,0.999999869524808,0.999999989878254,0.999999999194249,0.999999999934319,0.999999999994526,0.999999999999534,0.99999999999996,0.999999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.42974809648317e-05,5.32013832434141e-05,8.35678314804489e-05,0.000148093538213369,0.000274850687554327,0.000521998212678276,0.00101039816343507,0.00199685477330946,0.00404316223073125,0.00841936616090818,0.0181005181813499,0.0403165177163683,0.0931826646649989,0.221356506979956,0.504640691366981,0.863159455674746,0.986748566055243,0.999109266315821,0.999940916307158,0.999995916928427,0.999999705810172,0.999999978010275,0.999999998302512,0.999999999865144,0.999999999989003,0.999999999999082,0.999999999999922,0.999999999999993,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.67826821551428e-05,3.21661497275811e-05,5.05263744209624e-05,8.9540486048638e-05,0.000166182843758791,0.000315621510442692,0.000610944517383845,0.00120746391804614,0.0024450297048683,0.00509243111396152,0.0109537733251505,0.0244369251753841,0.0567802396088131,0.137536532377316,0.338528389447605,0.717096131083194,0.962735312072591,0.997529067018005,0.999847486277995,0.999990111048628,0.999999323190879,0.999999951468605,0.99999999637877,0.999999999720296,0.999999999977723,0.999999999998176,0.999999999999847,0.999999999999987,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.61874787279994e-05,1.94412774530871e-05,3.05383121821728e-05,5.41187173979438e-05,0.000100441839563053,0.000190762709373755,0.000369251916031738,0.000729761642150888,0.00147762061712908,0.00307720459600998,0.00661812596564213,0.0147646533484076,0.0343439849780275,0.0837512513935869,0.213510455529448,0.526581428803407,0.899984361196116,0.992856066035068,0.999590543083591,0.999975323972402,0.999998407333809,0.999999891005177,0.999999992168049,0.999999999413453,0.999999999954468,0.999999999996351,0.999999999999699,0.999999999999974,0.999999999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.78037314147352e-06,1.17463049453928e-05,1.84510776507589e-05,3.26981840973537e-05,6.06859730321872e-05,0.000115255242985628,0.000223087732074187,0.000440864170284211,0.00089254475439626,0.00185830623486045,0.00399490148977523,0.00890599956228975,0.0206975108076984,0.0504910544793905,0.130197866730531,0.347502838477385,0.767233878699693,0.978688388956655,0.99885033910535,0.999936275719779,0.999996154979102,0.999999750402686,0.999999982803124,0.999999998755175,0.99999999990603,0.999999999992643,0.999999999999405,0.99999999999995,0.999999999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.90722079262134e-06,7.09461983461607e-06,1.11442107132272e-05,1.97492120530719e-05,3.66530920243504e-05,6.96104494657158e-05,0.000134732343619118,0.000266235748110665,0.000538920887695296,0.00112172463484775,0.00241012447315734,0.00536766109050246,0.0124530022770973,0.0303044705828792,0.0781385322688405,0.214622219113713,0.570358717653988,0.936872653959907,0.996607648896496,0.999828761070806,0.999990442230652,0.999999415806188,0.999999961603339,0.999999997323289,0.999999999804026,0.999999999985039,0.999999999998815,0.999999999999903,0.999999999999992,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.56666861442552e-06,4.28359755363011e-06,6.72865572640237e-06,1.19241364048541e-05,2.21301029192402e-05,4.20279415267429e-05,8.13424771545454e-05,0.000160722567384863,0.000325288595582436,0.000676867918768124,0.00145351255460275,0.00323381273401069,0.00748800077010522,0.0181598507402997,0.0465987440237893,0.128375086688037,0.373099510485507,0.830783397112702,0.989480866662537,0.999518047294075,0.999975429249861,0.999998598501481,0.99999991265856,0.999999994160939,0.99999999958663,0.999999999969296,0.999999999997623,0.999999999999809,0.999999999999984,0.999999999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.15275265179351e-06,2.58547270382077e-06,4.06124271899737e-06,7.19706824823182e-06,1.33569632128525e-05,2.53660872445021e-05,4.90925270186697e-05,9.69933233149693e-05,0.000196278008178006,0.000408309750357452,0.000876361950780533,0.00194786507328661,0.00450199983450479,0.0108799444523318,0.0277441445716016,0.0758556355319978,0.225851481219016,0.639275400827346,0.966335237425112,0.998568727893796,0.999934316106028,0.999996541855697,0.999999797139196,0.999999987058576,0.999999999117194,0.999999999936364,0.999999999995194,0.999999999999622,0.999999999999969,0.999999999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
